S_No,City,Category,Business_Name,Phone,Email,GitHub_URL
61,Gwalior,Gym & Fitness,"Gwalior Fitness Hub",+916268234577,your@email.com,https://swadeeptripathi.github.io/vedam-websites/gwalior-fitness-hub-vedam/
62,Gwalior,Real Estate Agent,"Gwalior Realty Group",+917049855885,your@email.com,https://swadeeptripathi.github.io/vedam-websites/gwalior-realty-group-vedam/
63,Indore,Wedding Photographer,"Harsh Studio Photography",+919741347686,your@email.com,https://swadeeptripathi.github.io/vedam-websites/harsh-studio-photography-vedam/
64,Bhopal,Dental & Eye Clinic,"hi tech eye care bhopal",+919826044737,,https://swadeeptripathi.github.io/vedam-websites/hi-tech-eye-care-bhopal-vedam/
65,Gwalior,Real Estate Agent,"Homeonline Gwalior",+919826000000,your@email.com,https://swadeeptripathi.github.io/vedam-websites/homeonline-gwalior-vedam/
66,Bhopal,Restaurant & Dhaba,"Hotel Centre Park Bhopal",+919685550666,,https://swadeeptripathi.github.io/vedam-websites/hotel-centre-park-bhopal-vedam/
67,Jabalpur,Other,"Imagic Production",+919452934357,your@email.com,https://swadeeptripathi.github.io/vedam-websites/imagic-production-jabalpur-vedam/
68,Jabalpur,Coaching Institute,"Indian Agriculture Academy",+917089212222,your@email.com,https://swadeeptripathi.github.io/vedam-websites/indian-agriculture-academy-vedam/
69,Indore,Dental & Eye Clinic,"Ios Dental Indore",+918877681454,your@email.com,https://swadeeptripathi.github.io/vedam-websites/ios-dental-indore-vedam/
70,Rewa,Gym & Fitness,"Iron City Fitness Centre — Forge Your Body In Iron",,,https://swadeeptripathi.github.io/vedam-websites/iron-city-fitness-vedam/
71,Rewa,Gym & Fitness,"Ironclad Gym — Built Different. Trained Harder.",,,https://swadeeptripathi.github.io/vedam-websites/ironclad-gym-vedam/
72,Jabalpur,Real Estate Agent,"Jabalpur Helpline Rental & Property",+918962264111,your@email.com,https://swadeeptripathi.github.io/vedam-websites/jabalpur-helpline-rental-service-vedam/
73,Indore,Spa & Salon,"Jabalpur Salon Indore",+919009555050,your@email.com,https://swadeeptripathi.github.io/vedam-websites/jabalpur-salon-indore-vedam/
74,Bhopal,Bakery & Sweets,"Jai Hind Bakery Bhopal",+919009500669,,https://swadeeptripathi.github.io/vedam-websites/jai-hind-bakery-bhopal-vedam/
75,Indore,Wedding Photographer,"Jay Chugh Photography",+919741347686,your@email.com,https://swadeeptripathi.github.io/vedam-websites/jay-chugh-photography-vedam/
76,Indore,Restaurant & Dhaba,"Johnnyz Cafe",+916529962494,your@email.com,https://swadeeptripathi.github.io/vedam-websites/johnnyz-cafe-vedam/
77,Gwalior,Coaching Institute,"Krishna Institute Gwalior",+917880243673,your@email.com,https://swadeeptripathi.github.io/vedam-websites/krishna-institute-gwalior-vedam/
78,Bhopal,Spa & Salon,"Lakme Salon Arera Colony",+917000907242,,https://swadeeptripathi.github.io/vedam-websites/lakme-salon-arera-colony-bhopal-vedam/
79,Gwalior,Spa & Salon,"Lakme Salon City Centre",+919303322297,your@email.com,https://swadeeptripathi.github.io/vedam-websites/lakme-salon-city-centre-vedam/
80,Gwalior,Spa & Salon,"Lakme Salon Tulsi Vihar",+919826769100,your@email.com,https://swadeeptripathi.github.io/vedam-websites/lakme-salon-tulsi-vihar-vedam/
81,Indore,Real Estate Agent,"Lakshmi Narayan Realty",+919826634848,your@email.com,https://swadeeptripathi.github.io/vedam-websites/lakshmi-narayan-realty-vedam/
82,Bhopal,Dental & Eye Clinic,"Lenskart Bittan Market Bhopal",+917428891307,,https://swadeeptripathi.github.io/vedam-websites/lenskart-bittan-market-bhopal-vedam/
83,Indore,Dental & Eye Clinic,"Lenskart Chetakpuri",+918929330615,your@email.com,https://swadeeptripathi.github.io/vedam-websites/lenskart-chetakpuri-vedam/
84,Indore,Dental & Eye Clinic,"Lenskart Db Mall",+918447907937,your@email.com,https://swadeeptripathi.github.io/vedam-websites/lenskart-db-mall-vedam/
85,Gwalior,Dental & Eye Clinic,"Lenskart Gwalior Centre",+918929839065,your@email.com,https://swadeeptripathi.github.io/vedam-websites/lenskart-gwalior-centre-vedam/
86,Bhopal,Dental & Eye Clinic,"Lenskart Kohefiza Bhopal",+918042300935,,https://swadeeptripathi.github.io/vedam-websites/lenskart-kohefiza-bhopal-vedam/
87,Bhopal,Dental & Eye Clinic,"Lenskart MP Nagar Bhopal",+917428890206,,https://swadeeptripathi.github.io/vedam-websites/lenskart-mp-nagar-bhopal-vedam/
88,Indore,Dental & Eye Clinic,"Lenskart University Road",+919899409859,your@email.com,https://swadeeptripathi.github.io/vedam-websites/lenskart-university-road-vedam/
89,Jabalpur,Travel & Tours,"Maa Durga Services — Blessed Journeys, Trusted Service",,,https://swadeeptripathi.github.io/vedam-websites/maa-durga-travels-vedam/
90,Bhopal,Travel & Tours,"MAA Sharda Travels — Journeys Blessed by Maa Sharda",+919425394411,,https://swadeeptripathi.github.io/vedam-websites/maa-sharda-travels-vedam/
91,Bhopal,Other,"MADE EASY Centre Bhopal",+919021300500,,https://swadeeptripathi.github.io/vedam-websites/made-easy-centre-bhopal-vedam/
92,Jabalpur,Coaching Institute,"Matics Tuition Classes",+919826103332,your@email.com,https://swadeeptripathi.github.io/vedam-websites/matics-tuition-classes-vedam/
93,Jabalpur,Wedding Photographer,"Maya Photo Studio",+917999015907,your@email.com,https://swadeeptripathi.github.io/vedam-websites/maya-photo-studio-jabalpur-vedam/
94,Jabalpur,Real Estate Agent,"Million Properties Jabalpur",+918109009000,your@email.com,https://swadeeptripathi.github.io/vedam-websites/million-properties-jabalpur-vedam/
95,Indore,Spa & Salon,"Miraaya Makeup Studio",+918871608174,your@email.com,https://swadeeptripathi.github.io/vedam-websites/miraaya-makeup-studio-vedam/
96,Bhopal,Coaching Institute,"Mitesh Rathi Classes Bhopal",+919893451294,,https://swadeeptripathi.github.io/vedam-websites/mitesh-rathi-classes-bhopal-vedam/
97,Gwalior,Bakery & Sweets,"Mithai Wala Gwalior",+919009165703,your@email.com,https://swadeeptripathi.github.io/vedam-websites/mithai-wala-gwalior-vedam/
98,Bhopal,Travel & Tours,"MP Holiday Tours — Discover Madhya Pradesh",,,https://swadeeptripathi.github.io/vedam-websites/mp-holiday-tours-vedam/
99,Gwalior,Wedding Photographer,"Mukul Studio Photography",+918818916222,your@email.com,https://swadeeptripathi.github.io/vedam-websites/mukul-studio-photography-vedam/
100,Indore,Spa & Salon,"Nailash Beauty Studio",+918889944466,your@email.com,https://swadeeptripathi.github.io/vedam-websites/nailash-beauty-studio-vedam/
101,Bhopal,Wedding Photographer,"Neelutsav Studios Bhopal",+919522565555,,https://swadeeptripathi.github.io/vedam-websites/neelutsav-studios-bhopal-vedam/
102,Bhopal,Spa & Salon,"Nikky Bawa Medi Salon",+919893544778,,https://swadeeptripathi.github.io/vedam-websites/nikky-bawa-medi-salon-bhopal-vedam/
103,Jabalpur,Coaching Institute,"Om Career Institute India",+919425468495,your@email.com,https://swadeeptripathi.github.io/vedam-websites/om-career-institute-india-vedam/
104,Bhopal,Bakery & Sweets,"Omni Bakers Bhopal",+919009500669,,https://swadeeptripathi.github.io/vedam-websites/omni-bakers-bhopal-vedam/
105,Jabalpur,Coaching Institute,"PAATHSHAALA Coaching Classes",+919770187722,your@email.com,https://swadeeptripathi.github.io/vedam-websites/paathshaala-coaching-classes-vedam/
106,Jabalpur,Coaching Institute,"Parvati Institute of Mathematics",+917880291440,your@email.com,https://swadeeptripathi.github.io/vedam-websites/parvati-institute-of-mathematics-vedam/
107,Jabalpur,Coaching Institute,"PAT Coaching",+916265179073,your@email.com,https://swadeeptripathi.github.io/vedam-websites/pat-coaching-jabalpur-vedam/
108,Jabalpur,Gym & Fitness,"Power Gym Jabalpur",+919340822761,your@email.com,https://swadeeptripathi.github.io/vedam-websites/power-gym-jabalpur-vedam/
109,Jabalpur,Coaching Institute,"Pratap Concept Classes",+919993881102,your@email.com,https://swadeeptripathi.github.io/vedam-websites/pratap-concept-classes-vedam/
110,Jabalpur,Coaching Institute,"Qazi Physics Classes",+919039331333,your@email.com,https://swadeeptripathi.github.io/vedam-websites/qazi-physics-classes-vedam/
111,Jabalpur,Coaching Institute,"Ramanujam Maths Classes",+919893033986,your@email.com,https://swadeeptripathi.github.io/vedam-websites/ramanujam-maths-classes-vedam/
112,Gwalior,Coaching Institute,"Ravindra Ias Coaching",+919953101176,your@email.com,https://swadeeptripathi.github.io/vedam-websites/ravindra-ias-coaching-vedam/
113,Bhopal,Coaching Institute,"Reliable Institute Bhopal",+919893451294,,https://swadeeptripathi.github.io/vedam-websites/reliable-institute-bhopal-vedam/
114,Rewa,Restaurant & Dhaba,"Rewa Super Bazar Cafe",+917248135467,your@email.com,https://swadeeptripathi.github.io/vedam-websites/rewa-super-bazar-cafe-vedam/
115,Bhopal,Coaching Institute,"Ribosome Institute Bhopal",+919021300500,,https://swadeeptripathi.github.io/vedam-websites/ribosome-institute-bhopal-vedam/
116,Indore,Coaching Institute,"Ribosome Institute",+919329911449,your@email.com,https://swadeeptripathi.github.io/vedam-websites/ribosome-institute-vedam/
117,Gwalior,Real Estate Agent,"Rinaya Property Dealer",+917490055215,your@email.com,https://swadeeptripathi.github.io/vedam-websites/rinaya-property-dealer-vedam/
118,Indore,Real Estate Agent,"Rishiraj Realty",+919826634848,your@email.com,https://swadeeptripathi.github.io/vedam-websites/rishiraj-realty-vedam/
119,Indore,Real Estate Agent,"Rishiraj Search Properties",+919826634848,your@email.com,https://swadeeptripathi.github.io/vedam-websites/rishiraj-search-properties-vedam/
120,Indore,Bakery & Sweets,"Rk Bakery Indore",+918401977578,your@email.com,https://swadeeptripathi.github.io/vedam-websites/rk-bakery-indore-vedam/
121,Gwalior,Real Estate Agent,"Rk Property Dealer Gwalior",+919009036385,your@email.com,https://swadeeptripathi.github.io/vedam-websites/rk-property-dealer-gwalior-vedam/
122,Gwalior,Spa & Salon,"Royal Spa Gwalior",+919826769100,your@email.com,https://swadeeptripathi.github.io/vedam-websites/royal-spa-gwalior-vedam/
123,Jabalpur,Coaching Institute,"Sai Classes Garha",+919098409805,your@email.com,https://swadeeptripathi.github.io/vedam-websites/sai-classes-garha-vedam/
124,Jabalpur,Gym & Fitness,"Sai Fitness",+919972836106,your@email.com,https://swadeeptripathi.github.io/vedam-websites/sai-fitness-jabalpur-vedam/
125,Jabalpur,Coaching Institute,"Sai Focus Academy",+919806148331,your@email.com,https://swadeeptripathi.github.io/vedam-websites/sai-focus-academy-vedam/
126,Gwalior,Real Estate Agent,"Sai Property House Gwalior",+917049855885,your@email.com,https://swadeeptripathi.github.io/vedam-websites/sai-property-house-gwalior-vedam/
127,Indore,Travel & Tours,"Saksham Tours",+917651452553,your@email.com,https://swadeeptripathi.github.io/vedam-websites/saksham-tours-vedam/
128,Bhopal,Other,"Sam Creation Studio Bhopal",+918319462741,,https://swadeeptripathi.github.io/vedam-websites/sam-creation-studio-bhopal-vedam/
129,Jabalpur,Coaching Institute,"Sambhav Institute of Education",+918770579978,your@email.com,https://swadeeptripathi.github.io/vedam-websites/sambhav-institute-of-education-vedam/
130,Indore,Spa & Salon,"Sapna Beauty Parlour",+917979789767,your@email.com,https://swadeeptripathi.github.io/vedam-websites/sapna-beauty-parlour-vedam/
131,Bhopal,Spa & Salon,"Sapna's Beauty & Spa",+919826846974,,https://swadeeptripathi.github.io/vedam-websites/sapnas-beauty-and-spa-bhopal-vedam/
132,Satna,Gym & Fitness,"Satna Fitness Gym — The Mecca of Bodybuilding Since 2015",,satnafitness@gmail.com,https://swadeeptripathi.github.io/vedam-websites/satna-fitness-gym-vedam/
133,Gwalior,Coaching Institute,"Sci Coaching Gwalior",+918889593108,your@email.com,https://swadeeptripathi.github.io/vedam-websites/sci-coaching-gwalior-vedam/
134,Bhopal,Travel & Tours,"Sda Travels",+919965408869,your@email.com,https://swadeeptripathi.github.io/vedam-websites/sda-travels-vedam/
135,Jabalpur,Restaurant & Dhaba,"SeetaFoods Restaurant",+919340808278,your@email.com,https://swadeeptripathi.github.io/vedam-websites/seetafoods-jabalpur-vedam/
136,Indore,Dental & Eye Clinic,"Seraphic Dental",+918877681454,your@email.com,https://swadeeptripathi.github.io/vedam-websites/seraphic-dental-vedam/
137,Rewa,Restaurant & Dhaba,"Shan E Rewa",+919679703853,your@email.com,https://swadeeptripathi.github.io/vedam-websites/shan-e-rewa-vedam/
138,Jabalpur,Coaching Institute,"Shree Sai Career Classes",+918827730740,your@email.com,https://swadeeptripathi.github.io/vedam-websites/shree-sai-career-classes-vedam/
139,Jabalpur,Real Estate Agent,"Shri Sanskar Rental & Property",+917805801141,your@email.com,https://swadeeptripathi.github.io/vedam-websites/shri-sanskar-rental-and-property-vedam/
140,Indore,Travel & Tours,"Shriram Travels",+916985452308,your@email.com,https://swadeeptripathi.github.io/vedam-websites/shriram-travels-vedam/
141,Rewa,Travel & Tours,"Shubh Yatra Tours N Travels — Your Journey Begins Here",,shubhyatra.rewa@gmail.com,https://swadeeptripathi.github.io/vedam-websites/shubh-yatra-tours-vedam/
142,Jabalpur,Coaching Institute,"Shukla Maths Academy",+917415301150,your@email.com,https://swadeeptripathi.github.io/vedam-websites/shukla-maths-academy-vedam/
143,Jabalpur,Coaching Institute,"Siddhi Academy",+917869870659,your@email.com,https://swadeeptripathi.github.io/vedam-websites/siddhi-academy-jabalpur-vedam/
144,Indore,Restaurant & Dhaba,"Skylite Cafe",+917033745870,your@email.com,https://swadeeptripathi.github.io/vedam-websites/skylite-cafe-vedam/
145,Indore,Spa & Salon,"Sobo Nail Salon",+919136692758,your@email.com,https://swadeeptripathi.github.io/vedam-websites/sobo-nail-salon-vedam/
146,Jabalpur,Restaurant & Dhaba,"Spice Garden Restaurant",+918770212378,your@email.com,https://swadeeptripathi.github.io/vedam-websites/spice-garden-restaurant-vedam/
147,Indore,Real Estate Agent,"Square Yards Indore",+919893754690,your@email.com,https://swadeeptripathi.github.io/vedam-websites/square-yards-indore-vedam/
148,Gwalior,Gym & Fitness,"Ss Fitness Club",+917974213019,your@email.com,https://swadeeptripathi.github.io/vedam-websites/ss-fitness-club-vedam/
149,Bhopal,Spa & Salon,"StudySpace Bhopal",+918287604941,,https://swadeeptripathi.github.io/vedam-websites/studyspace-bhopal-vedam/
150,Satna,Spa & Salon,"Sunny Beauty Hut — Salon, Satna",+919584721180,,https://swadeeptripathi.github.io/vedam-websites/sunny-beauty-hut-vedam/
151,Jabalpur,Wedding Photographer,"Sunrise Digital Studio",+919741347686,your@email.com,https://swadeeptripathi.github.io/vedam-websites/sunrise-digital-studio-vedam/
152,Indore,Coaching Institute,"Tathagat Ias Indore",+918448440231,your@email.com,https://swadeeptripathi.github.io/vedam-websites/tathagat-ias-indore-vedam/
153,Bhopal,Restaurant & Dhaba,"The 3 Clover",+917662350149,your@email.com,https://swadeeptripathi.github.io/vedam-websites/the-3-clover-vedam/
154,Bhopal,Coaching Institute,"The Tuition Classes Bhopal",+919074289403,,https://swadeeptripathi.github.io/vedam-websites/the-tuition-classes-bhopal-vedam/
155,Indore,Other,"Theobroma Indore",+918182881881,your@email.com,https://swadeeptripathi.github.io/vedam-websites/theobroma-indore-vedam/
156,Jabalpur,Coaching Institute,"Tiwari Classes",+918349992512,your@email.com,https://swadeeptripathi.github.io/vedam-websites/tiwari-classes-jabalpur-vedam/
157,Jabalpur,Other,"Tiwari Study Zone",+919131770389,your@email.com,https://swadeeptripathi.github.io/vedam-websites/tiwari-study-zone-vedam/
158,Bhopal,Coaching Institute,"Toppers Academy Bhopal",+917827048964,,https://swadeeptripathi.github.io/vedam-websites/toppers-academy-bhopal-vedam/
159,Jabalpur,Coaching Institute,"UPSC Coaching Jabalpur",+919827239801,your@email.com,https://swadeeptripathi.github.io/vedam-websites/upsc-coaching-jabalpur-vedam/
160,Indore,Restaurant & Dhaba,"Vaishnavi Tiffin Service",+916261560850,your@email.com,https://swadeeptripathi.github.io/vedam-websites/vaishnavi-tiffin-service-vedam/
161,Bhopal,Spa & Salon,"Vibe Salon Academy",+916975080664,your@email.com,https://swadeeptripathi.github.io/vedam-websites/vibe-salon-academy-vedam/
162,Bhopal,Coaching Institute,"Vidya Ias Academy",+919755042692,your@email.com,https://swadeeptripathi.github.io/vedam-websites/vidya-ias-academy-vedam/
163,Indore,Dental & Eye Clinic,"Virang Dental Indore",+918877681454,your@email.com,https://swadeeptripathi.github.io/vedam-websites/virang-dental-indore-vedam/
164,Jabalpur,Coaching Institute,"Virmani Classes",+919893901113,your@email.com,https://swadeeptripathi.github.io/vedam-websites/virmani-classes-jabalpur-vedam/
165,Bhopal,Gym & Fitness,"Vishal Fitness Planet",+919425004711,,https://swadeeptripathi.github.io/vedam-websites/vishal-fitness-planet-bhopal-vedam/
166,Jabalpur,Dental & Eye Clinic,"Vision Eye Care Hospital",+919009485888,your@email.com,https://swadeeptripathi.github.io/vedam-websites/vision-eye-care-hospital-vedam/
167,Gwalior,Dental & Eye Clinic,"Vision Eye Clinic Gwalior",+919109973218,your@email.com,https://swadeeptripathi.github.io/vedam-websites/vision-eye-clinic-gwalior-vedam/
168,Jabalpur,Wedding Photographer,"Wedding Panchnama",+919741347686,your@email.com,https://swadeeptripathi.github.io/vedam-websites/wedding-panchnama-vedam/
169,Jabalpur,Restaurant & Dhaba,"White Kitchen Restaurant",+918818886226,your@email.com,https://swadeeptripathi.github.io/vedam-websites/white-kitchen-restaurant-jabalpur-vedam/
170,Singrauli,Gym & Fitness,"YFC Gym — Your Fitness Club, Your Rules",,,https://swadeeptripathi.github.io/vedam-websites/yfc-gym-singrauli-vedam/
171,Jabalpur,Coaching Institute,"Yojna IAS Coaching",+918595390705,your@email.com,https://swadeeptripathi.github.io/vedam-websites/yojna-ias-coaching-vedam/
172,Bhopal,Restaurant & Dhaba,"Zone 84 Restaurant",+917000405088,,https://swadeeptripathi.github.io/vedam-websites/zone-84-restaurant-bhopal-vedam/
